K,n_sampling,n_sampling_iter,max_iter,algorithm,best_cost,CH,DBI,Silhouette,Silhouette_std
3,40,3,300,clara,2682654.5846028035,120462.62468995062,2.135015756638804,0.14832339391965982,0.0009163703293229668
3,40,5,300,clara,2687862.6247793958,112918.45155533141,2.083925920700645,0.13215597009013885,0.0005601804703823877
3,80,3,300,clara,2666047.5775031587,121446.40941296711,1.7627088394527457,0.18975751056946696,0.00041532045855697326
3,80,5,300,clara,2631226.3984387214,110520.86335462568,2.0504285660521844,0.12884420897386017,0.0008707591314701127
5,40,3,300,clara,2411273.957995307,96186.80588858311,2.0234196070688446,0.158788005326032,0.0012760617807460821
5,40,5,300,clara,2478947.6177925467,94148.04118693197,1.9503342586720893,0.15593769989303102,0.0008808077673233989
5,80,3,300,clara,2477751.4346695053,88824.2088452174,1.897493488733868,0.14308660942162255,0.0006234503678783735
5,80,5,300,clara,2440453.0317091043,101228.32041888253,1.6968811018991108,0.15127152906411298,0.0003504671625743507
9,40,3,300,clara,2258617.9724245323,80641.47275693149,1.7043415302441893,0.1712058313281587,0.0006130628052063341
9,40,5,300,clara,2242675.954410202,83614.42408535731,1.662972446238861,0.16354668950320478,0.0005800745745225014
9,80,3,300,clara,2252800.0633785413,94335.209118015,1.5311698363719395,0.20592032193237175,0.00047378996401938733
9,80,5,300,clara,2146828.8485789998,100800.71231607416,1.4623828311947908,0.20761919484836935,0.000966274893877743
15,40,3,300,clara,1965388.613367169,82833.6277163908,1.6190093682706457,0.18041972584899799,0.0012319207137434717
15,40,5,300,clara,1986404.4849807073,89289.65356014237,1.634631142641071,0.20342317665918924,0.001623142042126725
15,80,3,300,clara,1914658.2581119086,95063.13317877158,1.5932930609209983,0.201981485282897,0.0008522628882073227
15,80,5,300,clara,1903718.5735391073,93693.55752323926,1.6366781244859492,0.198363318961626,0.00041450416684375897
